model,size,gpus,gc,batch_size,batches_per_sec,samples_per_sec
gemnet,base,8,False,6,26.113778149922734,156.6826688995364
graphormer3d,base,8,False,6,13.2092775216588,79.2556651299528
graphormer3d,base,8,True,8,7.1795171251519925,57.43613700121594
gemnet,base,64,False,6,140.37005725510795,842.2203435306477
graphormer3d,base,64,False,6,64.16714185086119,385.0028511051671
graphormer3d,base,64,True,8,18.34442412837513,146.75539302700105
graphormer3d,base,64,True,8,18.217605235643717,145.74084188514973
graphormer3d,base,512,True,8,84.29255001862157,674.3404001489725
gemnet,large,8,False,3,15.228886438677076,45.686659316031225
graphormer3d,large,8,False,3,13.33899798619683,40.01699395859049
graphormer3d,large,8,True,8,4.152861141470252,33.22288913176202
graphormer3d,large,8,True,8,4.192797520937512,33.5423801675001
gemnet,large,64,False,3,68.39366242123543,205.18098726370624
graphormer3d,large,64,False,3,44.86307877409018,134.58923632227052
graphormer3d,large,64,True,8,8.936245891307205,71.48996713045764
graphormer3d,large,64,True,8,8.934221635482333,71.47377308385866
gemnet,xl,8,True,3,7.271741420814665,21.815224262443987
graphormer3d,xl,8,True,8,1.5740284388970627,12.592227511176501
graphormer3d,xl,8,True,8,1.5670856246489988,12.53668499719199
graphormer3d,xl,8,True,3,3.5545189439894656,10.663556831968393
graphormer3d,xl,64,True,3,12.367995091672448,37.10398527501735
